'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1840;46264;999;'';'';'';;;;;3801;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46264;999;'';'';'';;;;;3894;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46264;999;'';'';'';;;;;4133;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46264;999;'';'';'';;;;;4217;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46264;999;'';'';'';;;;;4033;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46372;999;'';'';'';;;;;4281;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46372;999;'';'';'';;;;;4371;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46372;999;'';'';'';;;;;4638;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46372;999;'';'';'';;;;;1076;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46372;999;'';'';'';;;;;4526;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46277;999;'';'';'';;;;;902;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46277;999;'';'';'';;;;;996;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46277;999;'';'';'';;;;;1056;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46277;999;'';'';'';;;;;4732;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46277;999;'';'';'';;;;;1029;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46379;999;'';'';'';;;;;4202;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
