'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
2;51817;999;'';'';'';;;;;80865;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52117;999;'';'';'';;;;;52085;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52318;999;'';'';'';;;;;64026;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52521;999;'';'';'';;;;;164230;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52883;999;'';'';'';;;;;134788;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52933;999;'';'';'';;;;;122366;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;52958;999;'';'';'';;;;;181451;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53021;999;'';'';'';;;;;63126;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53056;999;'';'';'';;;;;100540;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53095;999;'';'';'';;;;;174428;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53117;999;'';'';'';;;;;49792;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53148;999;'';'';'';;;;;5942;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
2;53334;999;'';'';'';;;;;5098;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;44157;999;'';'';'';;;;;122137;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;44341;999;'';'';'';;;;;149416;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;44670;999;'';'';'';;;;;226470;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;44842;999;'';'';'';;;;;174689;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;46199;999;'';'';'';;;;;85733;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;46426;999;'';'';'';;;;;46973;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;46706;999;'';'';'';;;;;67101;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;46949;999;'';'';'';;;;;31312;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;47192;999;'';'';'';;;;;81054;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;48091;999;'';'';'';;;;;29249;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;48786;999;'';'';'';;;;;117364;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;49114;999;'';'';'';;;;;118393;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;49641;999;'';'';'';;;;;34055;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;49895;999;'';'';'';;;;;77785;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;50132;999;'';'';'';;;;;96195;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;50591;999;'';'';'';;;;;92423;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;50940;999;'';'';'';;;;;86394;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;51442;999;'';'';'';;;;;59240;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
